name,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Drax - coal units,Coal,1980,,Thornton/Drax/Eggborough,,1,1,1
Ratcliffe,Coal,2000,,Ratcliffe,,1,1,1
Cottam,Coal,2008,,Keadby,,1,1,1
West Burton,Coal,2012,,Keadby,,1,1,1
Eggborough,Coal,1960,,Thornton/Drax/Eggborough,,1,1,1
Rugeley,Coal,1006,,Feckenham,,1,1,1
Aberthaw B,Coal,1586,,Melksham,,1,1,1
Fiddler`s Ferry,Coal,1961,,Deeside,,1,1,1
Dungeness B,Nuclear,1050,,Sellindge,5,0.03,0.03,0.73
Hartlepool,Nuclear,1180,,Stella West,5,0.03,0.03,0.73
Heysham 1,Nuclear,1155,,Penwortham,5,0.03,0.03,0.73
Heysham 2,Nuclear,1230,,Penwortham,5,0.03,0.03,0.73
Hinkley Point B,Nuclear,955,,S.W.Penisula,5,0.03,0.03,0.73
Hunterston B,Nuclear,965,,Neilston,5,0.03,0.03,0.73
Sizewell B,Nuclear,1198,,Bramford,5,0.03,0.03,0.73
Torness,Nuclear,1185,,Torness,5,0.03,0.03,0.73
Severn Power,Natural Gas,850,CCGT,Melksham,,1,1,1
Baglan Bay CCGT,Natural Gas,520,CCGT,Melksham,,1,1,1
Sutton Bridge,Natural Gas,819,CCGT,Walpole,,1,1,1
Barry,Natural Gas,235,CCGT,Melksham,,1,1,1
Glanford Brigg,Natural Gas,150,CCGT,Keadby,,1,1,1
Killingholme,Natural Gas,0,CCGT,Keadby,,1,1,1
Langage,Natural Gas,905,CCGT,S.W.Penisula,,1,1,1
Peterborough,Natural Gas,240,CCGT,Walpole,,1,1,1
South Humber Bank,Natural Gas,1310,CCGT,Keadby,,1,1,1
Corby,Natural Gas,401,CCGT,Ratcliffe,,1,1,1
Castleford,Natural Gas,56,CCGT,Thornton/Drax/Eggborough,,1,1,1
Connahs Quay,Natural Gas,1380,CCGT,Deeside,,1,1,1
Cottam Development Centre,Natural Gas,395,CCGT,Keadby,,1,1,1
Enfield,Natural Gas,408,CCGT,London,,1,1,1
Grain CHP *,Natural Gas,1365,CCGT,Kemsley,,1,1,1
Sandbach,Natural Gas,56,CCGT,Daines,,1,1,1
Thornhill,Natural Gas,50,CCGT,Th. Marsh/Stocksbridge,,1,1,1
West Burton CCGT,Natural Gas,1332,CCGT,Keadby,,1,1,1
Deeside,Natural Gas,515,CCGT,Deeside,,1,1,1
Saltend,Natural Gas,1200,CCGT,Keadby,,1,1,1
Coryton,Natural Gas,800,CCGT,Kemsley,,1,1,1
Rocksavage,Natural Gas,810,CCGT,Deeside,,1,1,1
Spalding,Natural Gas,880,CCGT,Walpole,,1,1,1
Marchwood,Natural Gas,898,CCGT,Lovedean,,1,1,1
Didcot B,Natural Gas,1470,CCGT,Bramley,,1,1,1
Great Yarmouth,Natural Gas,420,CCGT,Bramford,,1,1,1
Little Barford,Natural Gas,749,CCGT,Sundon/East Claydon,,1,1,1
Pembroke,Natural Gas,2269,CCGT,Melksham,,1,1,1
Staythorpe C,Natural Gas,1792,CCGT,Ratcliffe,,1,1,1
Medway,Natural Gas,735,CCGT,Kemsley,,1,1,1
Peterhead,Natural Gas,1180,CCGT,Peterhead,,1,1,1
Keadby,Natural Gas,755,CCGT,Keadby,,1,1,1
Damhead Creek,Natural Gas,805,CCGT,Kemsley,,1,1,1
Rye House,Natural Gas,715,CCGT,Pelham,,1,1,1
Shoreham,Natural Gas,420,CCGT,Lovedean,,1,1,1
Blackburn,Natural Gas,59,CCGT,Penwortham,,1,1,1
Seabank 1,Natural Gas,812,CCGT,Melksham,,1,1,1
Seabank 2,Natural Gas,410,CCGT,Melksham,,1,1,1
Baglan Bay OCGT,Natural Gas,32.3,OCGT,Melksham,,1,1,1
Barkantine Heat & Power Company *,Natural Gas,1,OCGT,London,,1,1,1
London Heat & Power Company *,Natural Gas,9,OCGT,London,,1,1,1
Fellside CHP *,Natural Gas,180,OCGT,Harker,,1,1,1
Chippenham,Natural Gas,10,OCGT,Melksham,,1,1,1
Pilkington - Greengate *,Natural Gas,10,OCGT,Deeside,,1,1,1
Wilton GT2,Natural Gas,42,OCGT,Stella West,,1,1,1
Wilton GT1 *,Natural Gas,42,OCGT,Stella West,,1,1,1
Knapton,Natural Gas,40,OCGT,Thornton/Drax/Eggborough,,1,1,1
VPI Immingham *,Natural Gas,1240,OCGT,Keadby,,1,1,1
Burghfield,Natural Gas,45,OCGT,Bramley,,1,1,1
Chickerell,Natural Gas,45,OCGT,S.W.Penisula,,1,1,1
Drax GT,Oil,75,,Thornton/Drax/Eggborough,,1,1,1
Grain GT,Oil,55,,Kemsley,,1,1,1
Ratcliffe GT,Oil,34,,Ratcliffe,,1,1,1
Taylor's Lane GT,Oil,144,,Lovedean,,1,1,1
West Burton GT,Oil,40,,Keadby,,1,1,1
Rugeley GT,Oil,50,,Feckenham,,1,1,1
Aberthaw GT,Oil,51,,Melksham,,1,1,1
Cowes,Oil,140,,Lovedean,,1,1,1
Didcot GT,Oil,100,,Sundon/East Claydon,,1,1,1
Little Barford GT,Oil,17,,Sundon/East Claydon,,1,1,1
Fiddler`s Ferry GT,Oil,34,,Deeside,,1,1,1
Keadby GT,Oil,25,,Keadby,,1,1,1
Indian Queens,Oil,140,Gas oil / kerosene,S.W.Penisula,,1,1,1
Five Oaks,Oil,8.7,Light oil,Lovedean,,1,1,1
Thatcham,Oil,8.7,Light oil,Bramley,,1,1,1
Arnish,Oil,10.2,Diesel,Beauly,,1,1,1
Barra,Oil,2.5,Diesel,Beauly,,1,1,1
Bowmore,Oil,6,Diesel,Neilston,,1,1,1
Kirkwall,Oil,16.2,Diesel,Peterhead,,1,1,1
Lerwick,Oil,67.2,Diesel,Peterhead,,1,1,1
"Loch Carnan, South Uist",Oil,9.4,Diesel,Beauly,,1,1,1
Stornoway,Oil,23.5,Diesel,Beauly,,1,1,1
Tiree,Oil,2.5,Diesel,Neilston,,1,1,1
Green's Lodge Farm,Anaerobic Digestion,2,Anaerobic Digestion,Ratcliffe,0,1,1,1
Oak Grove Biomass Facility,Anaerobic Digestion,2,Anaerobic Digestion,Walpole,0,1,1,1
Land at Grange Farm,Anaerobic Digestion,1.1,Anaerobic Digestion,Keadby,0,1,1,1
North Tamar Environ Project - Holsworthy  (Farm AD),Anaerobic Digestion,1.4,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,1,Anaerobic Digestion,Denny/Bonnybridge,0,1,1,1
Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,2.4,Anaerobic Digestion,Denny/Bonnybridge,0,1,1,1
Carr Farm (Farm AD),Anaerobic Digestion,1,Anaerobic Digestion,Penwortham,0,1,1,1
Stoke Bardolph energy crop (Farm AD),Anaerobic Digestion,2,Anaerobic Digestion,Ratcliffe,0,1,1,1
BV Dairy  (Farm AD),Anaerobic Digestion,1.5,Anaerobic Digestion,S.W.Penisula,0,1,1,1
South Manchester Resource Recovery Centre (AD),Anaerobic Digestion,2,Anaerobic Digestion,Daines,0,1,1,1
Reliance Street Mechanical Biological Treatment Facility (MBT),Anaerobic Digestion,2,Anaerobic Digestion,Daines,0,1,1,1
Fenmarc Fenland AD Plant (Waste AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Walpole,0,1,1,1
Marsh Farm  (Farm AD),Anaerobic Digestion,1.4,Anaerobic Digestion,Walpole,0,1,1,1
Thornton Waste Recovery Park (Waste AD),Anaerobic Digestion,1.9,Anaerobic Digestion,Penwortham,0,1,1,1
Farington Waste Recovery Park (Waste AD),Anaerobic Digestion,1.9,Anaerobic Digestion,Penwortham,0,1,1,1
Fernbrook AD Plant (Waste AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Sundon/East Claydon,0,1,1,1
Sefter Farm AD Plant (Farm AD),Anaerobic Digestion,1,Anaerobic Digestion,Lovedean,0,1,1,1
Brookfield Farm AD Plant (Farm AD),Anaerobic Digestion,1.3,Anaerobic Digestion,Feckenham,0,1,1,1
Cassington AD (Waste AD),Anaerobic Digestion,2.1,Anaerobic Digestion,Sundon/East Claydon,0,1,1,1
Energen biogas cumbernauld,Anaerobic Digestion,2.4,Anaerobic Digestion,Denny/Bonnybridge,0,1,1,1
Bristol STW (Waste AD),Anaerobic Digestion,10,Anaerobic Digestion,Melksham,0,1,1,1
A C Shropshire (Farm AD),Anaerobic Digestion,2.5,Anaerobic Digestion,Ratcliffe,0,1,1,1
Lowbrook Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,1.3,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Symonds Farm Power Ltd (Farm AD),Anaerobic Digestion,1.4,Anaerobic Digestion,Bramford,0,1,1,1
Buttermilk Farm,Anaerobic Digestion,1.1,Anaerobic Digestion,Pelham,0,1,1,1
Spring Farm (biomass),Anaerobic Digestion,1,Anaerobic Digestion,Walpole,0,1,1,1
Trinity Hall Farm,Anaerobic Digestion,1.1,Anaerobic Digestion,Sundon/East Claydon,0,1,1,1
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,2,Anaerobic Digestion,Th. Marsh/Stocksbridge,0,1,1,1
Sandhill Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,2,Anaerobic Digestion,Thornton/Drax/Eggborough,0,1,1,1
Abbots moor Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,1,Anaerobic Digestion,Deeside,0,1,1,1
Poplars Anaerobic Digestion Facility (Waste AD),Anaerobic Digestion,6,Anaerobic Digestion,Feckenham,0,1,1,1
Reepham Road (Waste AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Walpole,0,1,1,1
Coleshill STW (Waste AD),Anaerobic Digestion,2.4,Anaerobic Digestion,Feckenham,0,1,1,1
Colwick Industrial Estate (Farm and Food waste),Anaerobic Digestion,2,Anaerobic Digestion,Ratcliffe,0,1,1,1
Green Waste Composting Facility (Waste AD),Anaerobic Digestion,1.2,Anaerobic Digestion,Bramley,0,1,1,1
Singleton Birch (Farm AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Keadby,0,1,1,1
Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,1,Anaerobic Digestion,Melksham,0,1,1,1
Bredbury Park Way - AD Stockport (Waste AD),Anaerobic Digestion,2,Anaerobic Digestion,Daines,0,1,1,1
Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,2.2,Anaerobic Digestion,Neilston,0,1,1,1
Dryholme Farm (Farm AD),Anaerobic Digestion,1,Anaerobic Digestion,Harker,0,1,1,1
Lochhead Landfill CHP,Anaerobic Digestion,1.7,Anaerobic Digestion,Denny/Bonnybridge,0,1,1,1
Merevale & Blyth Estate (Waste AD),Anaerobic Digestion,2,Anaerobic Digestion,Feckenham,0,1,1,1
Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),Anaerobic Digestion,2.3,Anaerobic Digestion,Pelham,0,1,1,1
Westwood AD Plant (Farm AD),Anaerobic Digestion,2,Anaerobic Digestion,Sundon/East Claydon,0,1,1,1
May Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,2.4,Anaerobic Digestion,Walpole,0,1,1,1
Carousel Dairy AD Plant (Farm AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Bramley,0,1,1,1
Cannington Cold Stores,Anaerobic Digestion,3.3,Anaerobic Digestion,S.W.Penisula,0,1,1,1
McCain Foods AD Plant (AD),Anaerobic Digestion,1,Anaerobic Digestion,Walpole,0,1,1,1
Preston Road AD Plant (Waste AD),Anaerobic Digestion,2.8,Anaerobic Digestion,Stella West,0,1,1,1
East Dagenham Docks AD (AD),Anaerobic Digestion,1.4,Anaerobic Digestion,London,0,1,1,1
Manor Farm (Farm AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Walpole,0,1,1,1
Westcott Venture Park,Anaerobic Digestion,2,Anaerobic Digestion,Sundon/East Claydon,0,1,1,1
Swancote Farm AD (Farm AD),Anaerobic Digestion,2.2,Anaerobic Digestion,Feckenham,0,1,1,1
Wyke Farms Biogas (Farm AD),Anaerobic Digestion,1,Anaerobic Digestion,S.W.Penisula,0,1,1,1
South Kirkby Business Park (Waste AD),Anaerobic Digestion,6,Anaerobic Digestion,Th. Marsh/Stocksbridge,0,1,1,1
Staples Anaerobic Digestion CHP Plant (Waste AD),Anaerobic Digestion,1.4,Anaerobic Digestion,Walpole,0,1,1,1
Dimmer Anaerobic Digestor (Waste AD),Anaerobic Digestion,3,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Wallingford (Waste AD),Anaerobic Digestion,2.4,Anaerobic Digestion,Bramley,0,1,1,1
Granox Biogas Plant,Anaerobic Digestion,5,Anaerobic Digestion,Deeside,0,1,1,1
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,Anaerobic Digestion,3,Anaerobic Digestion,Th. Marsh/Stocksbridge,0,1,1,1
Trumps Farm (AD),Anaerobic Digestion,2.4,Anaerobic Digestion,Bramley,0,1,1,1
Ratty's Lane Sustainable Energy Facility (Waste AD),Anaerobic Digestion,3,Anaerobic Digestion,Pelham,0,1,1,1
Brookhurst Wood (Waste AD),Anaerobic Digestion,4.5,Anaerobic Digestion,London,0,1,1,1
Halstead Renewable Power Project (Waste AD),Anaerobic Digestion,2,Anaerobic Digestion,Pelham,0,1,1,1
Walpole Landfill AD (Waste AD),Anaerobic Digestion,1.6,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Waen Biogas (Waste AD),Anaerobic Digestion,1,Anaerobic Digestion,Deeside,0,1,1,1
Pebble Hall Farm - resubmission - Food Waste AD,Anaerobic Digestion,4,Anaerobic Digestion,Ratcliffe,0,1,1,1
St Nicholas Court Farm (AD) - resubmission,Anaerobic Digestion,1.2,Anaerobic Digestion,Sellindge,0,1,1,1
Gore Cross - AD,Anaerobic Digestion,2.2,Anaerobic Digestion,Lovedean,0,1,1,1
Leeming Bar (Waste AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Thornton/Drax/Eggborough,0,1,1,1
Pure Malt Products AD,Anaerobic Digestion,1.5,Anaerobic Digestion,Torness,0,1,1,1
Codford Biogas (Waste AD),Anaerobic Digestion,3.7,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Bolton Road Waste Treatment and Renewable Energy Facility (Waste AD),Anaerobic Digestion,4,Anaerobic Digestion,Th. Marsh/Stocksbridge,0,1,1,1
Cattlegate Farm Biogas (Farm AD),Anaerobic Digestion,1.5,Anaerobic Digestion,London,0,1,1,1
GlaxoSmithKline (Waste AD),Anaerobic Digestion,1,Anaerobic Digestion,Neilston,0,1,1,1
Imperial Park,Anaerobic Digestion,5.1,Anaerobic Digestion,Stella West,0,1,1,1
Land Adjacent to Thomas Swan and Co Ltd.,Anaerobic Digestion,1,Anaerobic Digestion,Stella West,0,1,1,1
North Moor Farm AD Plant (Farm AD),Anaerobic Digestion,4,Anaerobic Digestion,Keadby,0,1,1,1
Sutton Grange AD Plant,Anaerobic Digestion,3,Anaerobic Digestion,Keadby,0,1,1,1
Wingmoor Farm (Waste AD),Anaerobic Digestion,1.6,Anaerobic Digestion,Feckenham,0,1,1,1
Carrington Farm AD,Anaerobic Digestion,3,Anaerobic Digestion,Walpole,0,1,1,1
West Roucan Farm,Anaerobic Digestion,1.2,Anaerobic Digestion,Harker,0,1,1,1
Bourne Park AD (AD),Anaerobic Digestion,1.1,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Decoy Farm (Farm AD),Anaerobic Digestion,1.8,Anaerobic Digestion,Walpole,0,1,1,1
Coursers Farm AD Plant (Waste AD),Anaerobic Digestion,3,Anaerobic Digestion,London,0,1,1,1
Millerhill AD (Waste AD),Anaerobic Digestion,1.5,Anaerobic Digestion,Torness,0,1,1,1
Hogsbrook Farm - Farm AD,Anaerobic Digestion,1,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Wothersome Grange Farm House AD - crops,Anaerobic Digestion,1,Anaerobic Digestion,Thornton/Drax/Eggborough,0,1,1,1
Land South East Of Water Treatment Works Bridge End,Anaerobic Digestion,1.5,Anaerobic Digestion,Stella West,0,1,1,1
Teeside Green Energy Plant (Waste AD),Anaerobic Digestion,4.8,Anaerobic Digestion,Stella West,0,1,1,1
Crowmarsh Battle Farm (Farm AD),Anaerobic Digestion,2.3,Anaerobic Digestion,Bramley,0,1,1,1
Salford Refuse Treatment Plant (AD),Anaerobic Digestion,2,Anaerobic Digestion,Daines,0,1,1,1
Stormy Down (Waste AD),Anaerobic Digestion,3,Anaerobic Digestion,Melksham,0,1,1,1
British Sugar - Bury,Anaerobic Digestion,5,Anaerobic Digestion,Bramford,0,1,1,1
Gravel Pit Farm (Resubmission),Anaerobic Digestion,1,Anaerobic Digestion,Thornton/Drax/Eggborough,0,1,1,1
Bentwaters Park (extension),Anaerobic Digestion,1.8,Anaerobic Digestion,Bramford,0,1,1,1
Swancote Farm,Anaerobic Digestion,1.2,Anaerobic Digestion,Feckenham,0,1,1,1
Aspatria Creamery,Anaerobic Digestion,5,Anaerobic Digestion,Harker,0,1,1,1
Austrey House Farm,Anaerobic Digestion,1.5,Anaerobic Digestion,Ratcliffe,0,1,1,1
Willand AD,Anaerobic Digestion,2,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Wigley Farm,Anaerobic Digestion,1.1,Anaerobic Digestion,Feckenham,0,1,1,1
Bentwaters Park,Anaerobic Digestion,2,Anaerobic Digestion,Bramford,0,1,1,1
Land at Lostock Works (Northwich Facility),Anaerobic Digestion,5,Anaerobic Digestion,Daines,0,1,1,1
"The Nurseries, Green Tye",Anaerobic Digestion,1.2,Anaerobic Digestion,Pelham,0,1,1,1
Enfield Farm,Anaerobic Digestion,2,Anaerobic Digestion,S.W.Penisula,0,1,1,1
Gelliargwellt Uchaf Farm AD,Anaerobic Digestion,1.4,Anaerobic Digestion,Melksham,0,1,1,1
Swindon Sewerage Treatment Works,Anaerobic Digestion,1.2,Anaerobic Digestion,Melksham,0,1,1,1
Rye Meads Sewerage Treatment Works,Anaerobic Digestion,2.3,Anaerobic Digestion,Pelham,0,1,1,1
Deephams Sewerage Treatment Works,Anaerobic Digestion,3,Anaerobic Digestion,London,0,1,1,1
Station Works AD,Anaerobic Digestion,1,Anaerobic Digestion,Pelham,0,1,1,1
Greenhill Anaerobic Digestion Plant,Anaerobic Digestion,1,Anaerobic Digestion,Lovedean,0,1,1,1
Glenfiddich Distillery,Anaerobic Digestion,1.5,Anaerobic Digestion,Peterhead,0,1,1,1
Plusterwine House - Anaerobic Digestion Plant (Retrospective),Anaerobic Digestion,1.5,Anaerobic Digestion,Melksham,0,1,1,1
Ferrybridge Multifuel 1 (FM1),EfW Incineration,68,EfW Incineration,Thornton/Drax/Eggborough,0,1,1,0.36
Dudley EfW,EfW Incineration,7.4,EfW Incineration,Feckenham,0,1,1,0.36
Wolverhampton EfW,EfW Incineration,8,EfW Incineration,Feckenham,0,1,1,0.36
Stoke-on-Trent EfW,EfW Incineration,14.2,EfW Incineration,Daines,0,1,1,0.36
Tyseley ERF,EfW Incineration,30,EfW Incineration,Feckenham,0,1,1,0.36
Haverton Hill Incinerator,EfW Incineration,20.1,EfW Incineration,Stella West,0,1,1,0.36
"Fibrepower, Slough",EfW Incineration,50,EfW Incineration,London,0,1,1,0.36
Chineham ERF,EfW Incineration,8,EfW Incineration,Bramley,0,1,1,0.36
Marchwood ERF,EfW Incineration,16,EfW Incineration,Lovedean,0,1,1,0.36
Vine Street EfW,EfW Incineration,9.5,EfW Incineration,Th. Marsh/Stocksbridge,0,1,1,0.36
Newlincs EfW,EfW Incineration,3.2,EfW Incineration,Keadby,0,1,1,0.36
Trackwork Limited (EfW),EfW Incineration,3,EfW Incineration,Th. Marsh/Stocksbridge,0,1,1,0.36
Riverside Resource Recovery Facility (RRRF),EfW Incineration,72,EfW Incineration,London,0,1,1,0.36
Lakeside EfW,EfW Incineration,30,EfW Incineration,London,0,1,1,0.36
Baldovie,EfW Incineration,8.3,EfW Incineration,Denny/Bonnybridge,0,1,1,0.36
Allington EFW,EfW Incineration,51,EfW Incineration,Kemsley,0,1,1,0.36
Coventry,EfW Incineration,4.5,EfW Incineration,Feckenham,0,1,1,0.36
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),EfW Incineration,33.5,EfW Incineration,Daines,0,1,1,0.36
Bolton TRF,EfW Incineration,10.8,EfW Incineration,Daines,0,1,1,0.36
North Quay ERF,EfW Incineration,18.3,EfW Incineration,Lovedean,0,1,1,0.36
Sheffield ERF,EfW Incineration,19.3,EfW Incineration,Th. Marsh/Stocksbridge,0,1,1,0.36
Peterborough EfW,EfW Incineration,7.3,EfW Incineration,Walpole,0,1,1,0.36
