name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,,,,,,,,,,,,,,,,,,,,
Dinorwig,1741.158621,Pumped Storage Hydroelectric,0,15.27595414,0.865,0.865,26597.85925,Deeside,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Ffestiniog,362.7413793,Pumped Storage Hydroelectric,0,11.28146329,0.85,0.85,4092.253553,Deeside,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Cruachan,1959.783784,Pumped Storage Hydroelectric,0,46.80835474,0.865,0.865,91734.25457,Errochty,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Foyers,1336.216216,Pumped Storage Hydroelectric,0,60.91816123,0.865,0.865,81399.8349,Beauly,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Beauly Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Beauly,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Peterhead Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Peterhead,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Errochty Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Errochty,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Denny/Bonnybridge Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Denny/Bonnybridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Neilston Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Neilston,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Strathaven Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Strathaven,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Torness Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Torness,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Eccles Battery,429.3916089,Battery,0,1.74142583,0.95,0.95,747.7536391,Eccles,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Harker Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Harker,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Stella West Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Stella West,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Penwortham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Penwortham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Deeside Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Deeside,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Daines Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Daines,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Th. Marsh/Stocksbridge Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Th. Marsh/Stocksbridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Thornton/Drax/Eggborough Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Thornton/Drax/Eggborough,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Keadby Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Keadby,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Ratcliffe Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Ratcliffe,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Feckenham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Feckenham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Walpole Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Walpole,0,0,FALSE,,,,,,,,,STES_Beauly,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 1,0.1,1000,TRUE
Bramford Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Bramford,0,0,FALSE,,,,,,,,,STES_Peterhead,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 2,0.1,1000,TRUE
Pelham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Pelham,0,0,FALSE,,,,,,,,,STES_Errochty,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 3,0.1,1000,TRUE
Sundon/East Claydon Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Sundon/East Claydon,0,0,FALSE,,,,,,,,,STES_Denny/BonnyBdige,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 4,0.1,1000,TRUE
Melksham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Melksham,0,0,FALSE,,,,,,,,,STES_Neilston,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 5,0.1,1000,TRUE
Bramley Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Bramley,0,0,FALSE,,,,,,,,,STES_Strathaven,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 6,0.1,1000,TRUE
London Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,London,0,0,FALSE,,,,,,,,,STES_Torness,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 7,0.1,1000,TRUE
Kemsley Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Kemsley,0,0,FALSE,,,,,,,,,STES_Eccles,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 8,0.1,1000,TRUE
Sellindge Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Sellindge,0,0,FALSE,,,,,,,,,STES_Harker,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 9,0.1,1000,TRUE
Lovedean Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Lovedean,0,0,FALSE,,,,,,,,,STES_Stella West,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 10,0.1,1000,TRUE
S.W.Penisula Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,S.W.Penisula,0,0,FALSE,,,,,,,,,STES_Penwortham,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 11,0.1,1000,TRUE
Beauly Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Beauly,0,0,FALSE,,,,,,,,,STES_Deeside,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 12,0.1,1000,TRUE
Peterhead Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Peterhead,0,0,FALSE,,,,,,,,,STES_Daines,509,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 13,0.1,1000,TRUE
Errochty Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Errochty,0,0,FALSE,,,,,,,,,STES_Marsh_Stocksbridge,510,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 14,0.1,1000,TRUE
Denny/Bonnybridge Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Denny/Bonnybridge,0,0,FALSE,,,,,,,,,STES_Thornton_Drax_Eggborough,511,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 15,0.1,1000,TRUE
Neilston Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Neilston,0,0,FALSE,,,,,,,,,STES_Keadby,512,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 16,0.1,1000,TRUE
Strathaven Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Strathaven,0,0,FALSE,,,,,,,,,STES_Ratcliffe,513,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 17,0.1,1000,TRUE
Torness Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Torness,0,0,FALSE,,,,,,,,,STES_Feckenham,514,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 18,0.1,1000,TRUE
Eccles Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Eccles,0,0,FALSE,,,,,,,,,STES_Walpole,515,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 19,0.1,1000,TRUE
Harker Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Harker,0,0,FALSE,,,,,,,,,STES_Bramford,516,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 20,0.1,1000,TRUE
Stella West Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Stella West,0,0,FALSE,,,,,,,,,STES_Pelham,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 21,0.1,1000,TRUE
Penwortham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Penwortham,0,0,FALSE,,,,,,,,,STES_Sundon_East_Claydon,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 22,0.1,1000,TRUE
Deeside Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Deeside,0,0,FALSE,,,,,,,,,STES_Melksham,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 23,0.1,1000,TRUE
Daines Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Daines,0,0,FALSE,,,,,,,,,STES_Bramley,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 24,0.1,1000,TRUE
Th. Marsh/Stocksbridge Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Th. Marsh/Stocksbridge,0,0,FALSE,,,,,,,,,STES_London,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 25,0.1,1000,TRUE
Thornton/Drax/Eggborough Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Thornton/Drax/Eggborough,0,0,FALSE,,,,,,,,,STES_Kemsley,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 26,0.1,1000,TRUE
Keadby Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Keadby,0,0,FALSE,,,,,,,,,STES_Sellindge,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 27,0.1,1000,TRUE
Ratcliffe Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Ratcliffe,0,0,FALSE,,,,,,,,,STES_Lovedean,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 28,0.1,1000,TRUE
Feckenham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Feckenham,0,0,FALSE,,,,,,,,,STES_S_W_Penisula,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 29,0.1,1000,TRUE
Walpole Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Walpole,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramford Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Bramford,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Pelham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Pelham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sundon/East Claydon Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Sundon/East Claydon,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Melksham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Melksham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramley Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Bramley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
London Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,London,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Kemsley Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Kemsley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sellindge Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Sellindge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Lovedean Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Lovedean,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
S.W.Penisula Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,S.W.Penisula,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Beauly Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Beauly,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Peterhead Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Peterhead,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Errochty Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Errochty,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Denny/Bonnybridge Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Denny/Bonnybridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Neilston Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Neilston,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Strathaven Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Strathaven,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Torness Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Torness,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Eccles Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Eccles,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Harker Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Harker,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Stella West Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Stella West,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Penwortham Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Penwortham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Deeside Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Deeside,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Daines Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Daines,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Th. Marsh/Stocksbridge Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Th. Marsh/Stocksbridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Thornton/Drax/Eggborough Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Thornton/Drax/Eggborough,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Keadby Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Keadby,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Ratcliffe Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Ratcliffe,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Feckenham Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Feckenham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Walpole Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Walpole,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramford Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Bramford,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Pelham Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Pelham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sundon/East Claydon Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Sundon/East Claydon,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Melksham Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Melksham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramley Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Bramley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
London Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,London,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Kemsley Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Kemsley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sellindge Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Sellindge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Lovedean Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Lovedean,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
S.W.Penisula Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,S.W.Penisula,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Beauly P2G,1277.708534,P2G,500,999999999,0.95,0.95,0,Beauly,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Denny/Bonnybridge P2G,83.36814705,P2G,500,999999999,0.95,0.95,0,Denny/Bonnybridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Eccles P2G,23.69998963,P2G,500,999999999,0.95,0.95,0,Eccles,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Errochty P2G,54.5611288,P2G,500,999999999,0.95,0.95,0,Errochty,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Neilston P2G,643.9338676,P2G,500,999999999,0.95,0.95,0,Neilston,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Peterhead P2G,2319.209867,P2G,500,999999999,0.95,0.95,0,Peterhead,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Strathaven P2G,299.2152774,P2G,500,999999999,0.95,0.95,0,Strathaven,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Torness P2G,402.5615626,P2G,500,999999999,0.95,0.95,0,Torness,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramford P2G,1471.263614,P2G,500,999999999,0.95,0.95,0,Bramford,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramley P2G,67.80958246,P2G,500,999999999,0.95,0.95,0,Bramley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Daines P2G,21.91124016,P2G,500,999999999,0.95,0.95,0,Daines,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Deeside P2G,323.6859616,P2G,500,999999999,0.95,0.95,0,Deeside,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Feckenham P2G,70.52280887,P2G,500,999999999,0.95,0.95,0,Feckenham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Harker P2G,98.07880475,P2G,500,999999999,0.95,0.95,0,Harker,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Keadby P2G,405.038696,P2G,500,999999999,0.95,0.95,0,Keadby,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Kemsley P2G,96.30713877,P2G,500,999999999,0.95,0.95,0,Kemsley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
London P2G,11.67870486,P2G,500,999999999,0.95,0.95,0,London,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Lovedean P2G,159.3423511,P2G,500,999999999,0.95,0.95,0,Lovedean,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Melksham P2G,403.0960616,P2G,500,999999999,0.95,0.95,0,Melksham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Pelham P2G,103.280526,P2G,500,999999999,0.95,0.95,0,Pelham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Penwortham P2G,406.0965811,P2G,500,999999999,0.95,0.95,0,Penwortham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Ratcliffe P2G,118.6016999,P2G,500,999999999,0.95,0.95,0,Ratcliffe,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
S.W.Penisula P2G,368.4365197,P2G,500,999999999,0.95,0.95,0,S.W.Penisula,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sellindge P2G,116.3781448,P2G,500,999999999,0.95,0.95,0,Sellindge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Stella West P2G,1175.723816,P2G,500,999999999,0.95,0.95,0,Stella West,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sundon/East Claydon P2G,124.8290153,P2G,500,999999999,0.95,0.95,0,Sundon/East Claydon,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Th. Marsh/Stocksbridge P2G,39.98681359,P2G,500,999999999,0.95,0.95,0,Th. Marsh/Stocksbridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Thornton/Drax/Eggborough P2G,68.87579852,P2G,500,999999999,0.95,0.95,0,Thornton/Drax/Eggborough,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Walpole P2G,1509.622188,P2G,500,999999999,0.95,0.95,0,Walpole,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
STES_Beauly,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 1,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Peterhead,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 2,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Errochty,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 3,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Denny/BonnyBdige,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 4,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Neilston,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 5,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Strathaven,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 6,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Torness,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 7,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Eccles,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 8,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Harker,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 9,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Stella West,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 10,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Penwortham,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 11,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Deeside,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 12,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Daines,509,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 13,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Marsh_Stocksbridge,510,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 14,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Thornton_Drax_Eggborough,511,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 15,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Keadby,512,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 16,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Ratcliffe,513,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 17,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Feckenham,514,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 18,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Walpole,515,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 19,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Bramford,516,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 20,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Pelham,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 21,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Sundon_East_Claydon,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 22,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Melksham,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 23,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Bramley,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 24,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_London,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 25,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Kemsley,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 26,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Sellindge,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 27,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_Lovedean,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 28,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
STES_S_W_Penisula,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 29,0.1,1000,TRUE,,,,,,,,,,,,,,,,,,,,
